year_month,year,month,month_name,Orders,Revenue,Profit,Units,AOV,Profit_Margin_%,Revenue_MoM_%,Profit_MoM_%,Orders_MoM_%,Revenue_YoY_%,Profit_YoY_%
2022-01,2022,1,Jan,355,1058159.85,279712.62,489,2980.73,26.43,,,,,
2022-02,2022,2,Feb,299,1116433.0999999999,296360.82,439,3733.89,26.55,5.51,5.95,-15.77,,
2022-03,2022,3,Mar,342,918991.2,256540.63,491,2687.11,27.92,-17.69,-13.44,14.38,,
2022-04,2022,4,Apr,385,1124524.5,299001.59,547,2920.84,26.59,22.37,16.55,12.57,,
2022-05,2022,5,May,607,1347603.5,448612.23,857,2220.1,33.29,19.84,50.04,57.66,,
2022-06,2022,6,Jun,638,1361801.0,444185.45,898,2134.48,32.62,1.05,-0.99,5.11,,
2022-07,2022,7,Jul,638,1588313.55,507024.55,930,2489.52,31.92,16.63,14.15,0.0,,
2022-08,2022,8,Aug,705,1630963.85,522195.21,1017,2313.42,32.02,2.69,2.99,10.5,,
2022-09,2022,9,Sep,697,1709600.5,527828.76,992,2452.8,30.87,4.82,1.08,-1.13,,
2022-10,2022,10,Oct,1252,3196744.1,791323.38,1821,2553.31,24.75,86.99,49.92,79.63,,
2022-11,2022,11,Nov,1318,3465817.95,764482.62,1905,2629.6,22.06,8.42,-3.39,5.27,,
2022-12,2022,12,Dec,905,2362579.4,725905.03,1278,2610.58,30.73,-31.83,-5.05,-31.34,,
2023-01,2023,1,Jan,1179,2822594.45,875570.16,1710,2394.06,31.02,19.47,20.62,30.28,166.75,213.02
2023-02,2023,2,Feb,1043,2431304.45,777171.44,1488,2331.07,31.97,-13.86,-11.24,-11.54,117.77,162.24
2023-03,2023,3,Mar,1225,3130794.15,943579.33,1787,2555.75,30.14,28.77,21.41,17.45,240.68,267.81
2023-04,2023,4,Apr,1155,3106387.3,923088.56,1687,2689.51,29.72,-0.78,-2.17,-5.71,176.24,208.72
2023-05,2023,5,May,1478,4065269.55,1172271.51,2106,2750.52,28.84,30.87,26.99,27.97,201.67,161.31
2023-06,2023,6,Jun,1535,3853525.3,1194153.35,2185,2510.44,30.99,-5.21,1.87,3.86,182.97,168.84
2023-07,2023,7,Jul,1423,3404695.05,1059151.64,2044,2392.62,31.11,-11.65,-11.31,-7.3,114.36,108.9
2023-08,2023,8,Aug,1506,4020064.1,1215923.32,2116,2669.37,30.25,18.07,14.8,5.83,146.48,132.85
2023-09,2023,9,Sep,1577,3994159.9,1217165.38,2204,2532.76,30.47,-0.64,0.1,4.71,133.63,130.6
2023-10,2023,10,Oct,2701,6489100.95,1498775.05,3820,2402.48,23.1,62.46,23.14,71.27,102.99,89.4
2023-11,2023,11,Nov,2496,5823162.95,1429780.49,3521,2333.0,24.55,-10.26,-4.6,-7.59,68.02,87.03
2023-12,2023,12,Dec,1778,4680934.45,1371789.46,2550,2632.7,29.31,-19.62,-4.06,-28.77,98.13,88.98
2024-01,2024,1,Jan,2218,6118876.25,1849823.18,3200,2758.74,30.23,30.72,34.85,24.75,116.78,111.27
2024-02,2024,2,Feb,1937,5490253.45,1656931.87,2822,2834.41,30.18,-10.27,-10.43,-12.67,125.82,113.2
2024-03,2024,3,Mar,2132,5313110.35,1606173.74,2999,2492.08,30.23,-3.23,-3.06,10.07,69.7,70.22
2024-04,2024,4,Apr,2217,6026921.6,1750875.62,3187,2718.5,29.05,13.43,9.01,3.99,94.02,89.68
2024-05,2024,5,May,2711,7032810.4,2111013.06,3873,2594.18,30.02,16.69,20.57,22.28,73.0,80.08
2024-06,2024,6,Jun,2646,7266336.7,2178117.85,3766,2746.16,29.98,3.32,3.18,-2.4,88.56,82.4
2024-07,2024,7,Jul,1717,4662319.65,1403792.75,2508,2715.39,30.11,-35.84,-35.55,-35.11,36.94,32.54
2024-08,2024,8,Aug,1444,3916787.05,1149599.43,2038,2712.46,29.35,-15.99,-18.11,-15.9,-2.57,-5.45
2024-09,2024,9,Sep,1385,3280548.9,1009049.12,1972,2368.63,30.76,-16.24,-12.23,-4.09,-17.87,-17.1
2024-10,2024,10,Oct,2683,7035744.9,1610815.33,3841,2622.34,22.89,114.47,59.64,93.72,8.42,7.48
2024-11,2024,11,Nov,2607,5982471.3,1473578.4,3736,2294.77,24.63,-14.97,-8.52,-2.83,2.74,3.06
2024-12,2024,12,Dec,1566,3940433.55,1244066.38,2257,2516.24,31.57,-34.13,-15.58,-39.93,-15.82,-9.31
