product_id,Total_Orders,Total_Quantity,Total_Revenue,Total_Cost,Total_Profit,Returned_Orders,Cancelled_Orders,Profit_Margin_%,Return_Rate_%,Cancellation_Rate_%,product_name,category,subcategory,brand,cost_price,selling_price,supplier,stock_quantity,profit_margin_percentage,Cum_Revenue,Cum_Revenue_Pct,Product_Rank,Cum_Product_Pct,Portfolio_Segment
PROD-0382,15,30,1864834.65,1578008.4,286826.25,1,1,15.38,6.67,6.67,Hp Accessories Prime,Electronics,Accessories,Hp,52600.28,65779.0,Metro Gadget Hub,139,20.03,1864834.65,1.38,1,0.18,"Volume Driver (High Rev, Low Margin)"
PROD-0451,17,28,1630248.15,1488610.48,141637.67,2,3,8.69,11.76,17.65,Noise Smartwatches Elite,Electronics,Smartwatches,Noise,53164.66,61869.0,Apex Electronics Ltd,463,14.07,3495082.8,2.59,2,0.36,"Volume Driver (High Rev, Low Margin)"
PROD-0415,23,32,1545002.55,1345160.0,199842.55,1,2,12.93,4.35,8.7,Dell Audio & Headphones Classic,Electronics,Audio & Headphones,Dell,42036.25,50739.0,Metro Gadget Hub,91,17.15,5040085.35,3.74,3,0.55,"Volume Driver (High Rev, Low Margin)"
PROD-0180,24,36,1364420.85,1241364.2399999998,123056.61,0,3,9.02,0.0,12.5,Sony Accessories Prime,Electronics,Accessories,Sony,34482.34,41159.0,Zenith Tech Distribution,82,16.22,6404506.199999999,4.75,4,0.73,"Volume Driver (High Rev, Low Margin)"
PROD-0369,30,43,1282919.4,1039110.0499999999,243809.35,4,4,19.0,13.33,13.33,Noise Smartphones Classic,Electronics,Smartphones,Noise,24165.35,31599.0,Zenith Tech Distribution,274,23.52,7687425.6,5.7,5,0.91,"Volume Driver (High Rev, Low Margin)"
PROD-0090,38,66,1169313.6,1022246.28,147067.32,3,1,12.58,7.89,2.63,Samsung Cameras Classic,Electronics,Cameras,Samsung,15488.58,18739.0,Metro Gadget Hub,504,17.35,8856739.2,6.57,6,1.09,"Volume Driver (High Rev, Low Margin)"
PROD-0330,24,34,1135024.8,952186.66,182838.13999999998,0,1,16.11,0.0,4.17,Realme Smartwatches Prime,Electronics,Smartwatches,Realme,28005.49,36379.0,Metro Gadget Hub,507,23.02,9991764.0,7.41,7,1.27,"Volume Driver (High Rev, Low Margin)"
PROD-0531,17,25,1061359.65,974260.0,87099.65,0,0,8.21,0.0,0.0,Realme Cameras Max,Electronics,Cameras,Realme,38970.4,46449.0,Apex Electronics Ltd,575,16.1,11053123.65,8.2,8,1.45,"Volume Driver (High Rev, Low Margin)"
PROD-0157,15,22,1045186.45,924056.1000000001,121130.35,1,1,11.59,6.67,6.67,Hp Smartphones Elite,Electronics,Smartphones,Hp,42002.55,52129.0,Apex Electronics Ltd,181,19.43,12098310.1,8.98,9,1.64,"Volume Driver (High Rev, Low Margin)"
PROD-0091,16,28,1030287.3,891302.16,138985.14,0,2,13.49,0.0,12.5,Noise Smartphones Classic,Electronics,Smartphones,Noise,31832.22,40089.0,Zenith Tech Distribution,255,20.6,13128597.4,9.74,10,1.82,"Volume Driver (High Rev, Low Margin)"
