return_id,order_id,return_date,return_reason,return_quantity,refund_amount
RET-000001,ORD-0000001,2024-07-03,Size Issue,1,2868.05
RET-000002,ORD-0000011,2023-10-17,Quality Issue,2,1052.3
RET-000003,ORD-0000043,2024-05-21,Quality Issue,1,607.05
RET-000004,ORD-0000065,2024-05-16,Size Issue,1,1403.1
RET-000005,ORD-0000133,2024-11-30,Quality Issue,2,448.2
RET-000006,ORD-0000141,2022-08-23,Quality Issue,1,449.65
RET-000007,ORD-0000182,2023-10-13,Late Delivery,1,471.2
RET-000008,ORD-0000215,2022-09-24,Damaged Product,1,16859.0
RET-000009,ORD-0000252,2024-01-12,Quality Issue,1,3339.0
RET-000010,ORD-0000253,2023-11-29,Size Issue,1,3968.1
RET-000011,ORD-0000261,2022-09-21,Size Issue,1,2979.0
RET-000012,ORD-0000262,2023-06-11,Size Issue,2,8818.0
RET-000013,ORD-0000275,2022-12-25,Damaged Product,2,1398.0
RET-000014,ORD-0000286,2023-11-10,Wrong Product,2,287.3
RET-000015,ORD-0000295,2024-05-16,Size Issue,1,483.55
RET-000016,ORD-0000303,2022-05-11,Quality Issue,1,1703.2
RET-000017,ORD-0000310,2024-03-10,Quality Issue,1,1599.0
RET-000018,ORD-0000312,2022-05-05,Damaged Product,1,616.55
RET-000019,ORD-0000333,2024-02-18,Changed Mind,1,293.55
RET-000020,ORD-0000334,2024-08-24,Quality Issue,1,1215.05
RET-000021,ORD-0000374,2023-01-18,Other,2,24622.1
RET-000022,ORD-0000394,2024-05-29,Quality Issue,2,23934.3
RET-000023,ORD-0000437,2024-11-10,Changed Mind,2,823.5
RET-000024,ORD-0000452,2024-04-22,Quality Issue,1,236.55
RET-000025,ORD-0000458,2024-09-17,Damaged Product,1,2459.55
RET-000026,ORD-0000481,2023-10-16,Damaged Product,1,7334.65
RET-000027,ORD-0000489,2024-11-02,Damaged Product,1,746.1
RET-000028,ORD-0000502,2024-04-22,Changed Mind,1,721.05
RET-000029,ORD-0000506,2023-10-16,Damaged Product,1,313.65
RET-000030,ORD-0000516,2024-01-02,Late Delivery,2,5387.3
RET-000031,ORD-0000545,2022-10-07,Damaged Product,5,7311.5
RET-000032,ORD-0000557,2024-10-17,Late Delivery,1,1961.1
RET-000033,ORD-0000561,2023-11-18,Size Issue,1,917.1
RET-000034,ORD-0000565,2023-06-23,Other,2,423.3
RET-000035,ORD-0000580,2022-05-06,Size Issue,1,1520.65
RET-000036,ORD-0000586,2022-10-28,Late Delivery,1,524.25
RET-000037,ORD-0000587,2024-09-07,Size Issue,1,3089.0
RET-000038,ORD-0000605,2024-07-06,Wrong Product,1,827.1
RET-000039,ORD-0000623,2024-03-21,Damaged Product,1,597.55
RET-000040,ORD-0000631,2022-10-16,Quality Issue,1,347.65
RET-000041,ORD-0000643,2024-07-20,Changed Mind,3,24567.0
RET-000042,ORD-0000645,2023-01-27,Damaged Product,1,319.0
RET-000043,ORD-0000649,2023-08-21,Size Issue,1,1449.0
RET-000044,ORD-0000684,2023-12-10,Quality Issue,1,566.1
RET-000045,ORD-0000685,2023-11-13,Wrong Product,1,530.1
RET-000046,ORD-0000691,2023-08-28,Size Issue,1,1481.05
RET-000047,ORD-0000699,2023-06-15,Quality Issue,1,1109.0
RET-000048,ORD-0000706,2023-05-01,Changed Mind,1,3894.05
RET-000049,ORD-0000752,2025-01-02,Size Issue,2,4578.0
RET-000050,ORD-0000797,2023-12-21,Size Issue,1,1807.2
RET-000051,ORD-0000826,2023-05-20,Changed Mind,1,569.0
RET-000052,ORD-0000827,2024-08-27,Damaged Product,1,1547.55
RET-000053,ORD-0000833,2022-05-05,Size Issue,2,2536.2
RET-000054,ORD-0000840,2024-04-20,Quality Issue,1,1059.0
RET-000055,ORD-0000845,2024-11-03,Damaged Product,1,919.0
RET-000056,ORD-0000846,2023-07-25,Damaged Product,1,616.55
RET-000057,ORD-0000872,2023-08-18,Wrong Product,1,2649.0
RET-000058,ORD-0000875,2023-04-14,Changed Mind,1,11659.0
RET-000059,ORD-0000901,2024-03-01,Size Issue,1,3527.2
RET-000060,ORD-0000907,2023-06-20,Changed Mind,1,3719.0
RET-000061,ORD-0000917,2024-09-05,Damaged Product,1,979.0
RET-000062,ORD-0000929,2024-01-11,Late Delivery,1,2959.0
RET-000063,ORD-0000965,2024-05-24,Quality Issue,1,539.0
RET-000064,ORD-0000985,2023-10-31,Quality Issue,1,5881.15
RET-000065,ORD-0000990,2023-01-24,Changed Mind,1,349.0
RET-000066,ORD-0001010,2024-08-25,Quality Issue,1,6809.0
RET-000067,ORD-0001047,2022-06-08,Quality Issue,1,1196.05
RET-000068,ORD-0001057,2024-08-04,Changed Mind,1,389.0
RET-000069,ORD-0001058,2022-06-23,Damaged Product,1,10031.05
RET-000070,ORD-0001059,2024-07-13,Damaged Product,1,1169.0
RET-000071,ORD-0001072,2023-10-23,Quality Issue,3,5436.9
RET-000072,ORD-0001085,2023-12-10,Quality Issue,1,749.0
RET-000073,ORD-0001097,2024-11-18,Quality Issue,1,464.25
RET-000074,ORD-0001125,2024-11-05,Damaged Product,1,764.1
RET-000075,ORD-0001133,2024-06-02,Size Issue,1,476.1
RET-000076,ORD-0001136,2022-08-10,Damaged Product,1,208.05
RET-000077,ORD-0001146,2023-10-05,Changed Mind,1,2529.0
RET-000078,ORD-0001165,2024-11-08,Size Issue,1,899.25
RET-000079,ORD-0001186,2022-03-22,Quality Issue,1,5786.1
RET-000080,ORD-0001220,2024-03-07,Wrong Product,1,1169.0
RET-000081,ORD-0001245,2023-04-01,Changed Mind,1,829.0
RET-000082,ORD-0001248,2024-11-12,Size Issue,1,441.15
RET-000083,ORD-0001275,2024-04-14,Size Issue,1,1376.55
RET-000084,ORD-0001284,2023-06-07,Quality Issue,2,3778.0
RET-000085,ORD-0001287,2024-06-16,Late Delivery,1,1249.0
RET-000086,ORD-0001291,2024-03-14,Damaged Product,1,5651.1
RET-000087,ORD-0001298,2023-04-07,Changed Mind,1,41619.0
RET-000088,ORD-0001299,2024-03-17,Other,1,15816.55
RET-000089,ORD-0001311,2023-06-24,Late Delivery,2,518.0
RET-000090,ORD-0001314,2023-01-30,Damaged Product,1,1025.05
RET-000091,ORD-0001324,2023-10-04,Damaged Product,1,1665.15
RET-000092,ORD-0001365,2024-07-16,Changed Mind,1,2529.0
RET-000093,ORD-0001401,2022-11-02,Quality Issue,1,296.65
RET-000094,ORD-0001413,2024-01-24,Changed Mind,1,900.15
RET-000095,ORD-0001438,2024-08-27,Quality Issue,1,816.05
RET-000096,ORD-0001441,2022-10-17,Wrong Product,2,287.3
RET-000097,ORD-0001447,2024-10-22,Size Issue,1,467.1
RET-000098,ORD-0001477,2023-07-20,Damaged Product,1,1279.0
RET-000099,ORD-0001532,2022-04-29,Late Delivery,4,5980.6
RET-000100,ORD-0001539,2023-12-18,Quality Issue,1,431.1
RET-000101,ORD-0001575,2024-10-03,Damaged Product,1,1139.0
RET-000102,ORD-0001584,2023-03-08,Other,1,3999.0
RET-000103,ORD-0001611,2024-12-29,Other,1,1007.2
RET-000104,ORD-0001616,2024-05-21,Size Issue,2,1694.4
RET-000105,ORD-0001636,2024-11-30,Quality Issue,1,602.65
RET-000106,ORD-0001648,2023-11-19,Size Issue,1,231.75
RET-000107,ORD-0001656,2024-12-03,Changed Mind,1,679.0
RET-000108,ORD-0001668,2023-05-20,Changed Mind,1,511.2
RET-000109,ORD-0001672,2024-05-29,Wrong Product,1,1756.55
RET-000110,ORD-0001674,2024-06-10,Size Issue,1,1325.15
RET-000111,ORD-0001698,2022-09-06,Size Issue,1,1025.05
RET-000112,ORD-0001705,2024-03-21,Size Issue,1,1909.0
RET-000113,ORD-0001733,2024-02-02,Damaged Product,1,492.15
RET-000114,ORD-0001739,2023-04-08,Changed Mind,1,2041.55
RET-000115,ORD-0001753,2024-04-01,Quality Issue,1,1439.1
RET-000116,ORD-0001760,2022-08-11,Damaged Product,1,1519.05
RET-000117,ORD-0001766,2024-03-31,Size Issue,1,639.0
RET-000118,ORD-0001819,2023-10-11,Damaged Product,1,1682.1
RET-000119,ORD-0001840,2023-07-26,Wrong Product,1,293.55
RET-000120,ORD-0001845,2023-05-30,Size Issue,1,1232.1
RET-000121,ORD-0001848,2024-12-20,Quality Issue,1,2402.55
RET-000122,ORD-0001859,2024-01-19,Quality Issue,2,858.0
RET-000123,ORD-0001861,2023-03-27,Quality Issue,2,6350.4
RET-000124,ORD-0001935,2022-10-15,Other,1,254.15
RET-000125,ORD-0001941,2024-10-11,Late Delivery,1,1699.0
RET-000126,ORD-0001950,2024-04-03,Quality Issue,1,219.0
RET-000127,ORD-0001965,2024-03-22,Damaged Product,1,329.0
RET-000128,ORD-0001976,2024-01-07,Quality Issue,1,10559.0
RET-000129,ORD-0001977,2023-10-22,Wrong Product,2,1636.2
RET-000130,ORD-0002008,2023-12-06,Damaged Product,1,2624.25
RET-000131,ORD-0002010,2024-06-22,Size Issue,1,2209.0
RET-000132,ORD-0002017,2022-10-04,Changed Mind,1,755.1
RET-000133,ORD-0002020,2022-08-14,Other,1,179.0
RET-000134,ORD-0002051,2023-05-09,Damaged Product,1,14891.15
RET-000135,ORD-0002082,2022-04-22,Quality Issue,1,2402.55
RET-000136,ORD-0002084,2023-12-29,Wrong Product,1,674.1
RET-000137,ORD-0002085,2024-03-09,Changed Mind,1,1409.0
RET-000138,ORD-0002111,2024-04-28,Damaged Product,1,150.0
RET-000139,ORD-0002115,2022-12-29,Damaged Product,1,3914.1
RET-000140,ORD-0002125,2023-06-20,Wrong Product,1,469.0
RET-000141,ORD-0002144,2022-11-29,Wrong Product,1,299.0
RET-000142,ORD-0002151,2024-04-20,Wrong Product,1,699.0
RET-000143,ORD-0002160,2023-10-21,Quality Issue,1,347.65
RET-000144,ORD-0002202,2022-11-20,Quality Issue,1,1599.0
RET-000145,ORD-0002205,2023-07-07,Damaged Product,1,1934.1
RET-000146,ORD-0002206,2024-12-04,Damaged Product,2,2038.0
RET-000147,ORD-0002241,2023-06-09,Changed Mind,1,246.05
RET-000148,ORD-0002242,2024-06-25,Quality Issue,1,309.0
RET-000149,ORD-0002247,2024-10-28,Size Issue,1,424.15
RET-000150,ORD-0002255,2023-10-16,Damaged Product,1,219.0
RET-000151,ORD-0002273,2023-11-01,Wrong Product,1,557.1
RET-000152,ORD-0002329,2024-11-29,Size Issue,1,455.2
RET-000153,ORD-0002335,2023-06-10,Size Issue,1,699.0
RET-000154,ORD-0002341,2023-08-14,Changed Mind,1,1133.1
RET-000155,ORD-0002342,2023-12-04,Damaged Product,1,1871.2
RET-000156,ORD-0002354,2024-07-11,Wrong Product,2,160.0
RET-000157,ORD-0002365,2023-11-27,Damaged Product,1,1844.1
RET-000158,ORD-0002375,2024-05-22,Changed Mind,2,1238.0
RET-000159,ORD-0002379,2023-10-03,Size Issue,1,825.55
RET-000160,ORD-0002380,2023-09-07,Changed Mind,1,1029.0
RET-000161,ORD-0002381,2023-09-21,Damaged Product,1,3079.0
RET-000162,ORD-0002388,2024-05-05,Quality Issue,1,2771.1
RET-000163,ORD-0002395,2024-01-27,Late Delivery,1,699.0
RET-000164,ORD-0002411,2022-02-24,Damaged Product,1,1025.05
