order_id,customer_id,product_id,order_date,quantity,unit_price,discount_percentage,discount_amount,sales_amount,cost_amount,profit_amount,city,state,region,order_status
ORD-0000001,CUST-00296,PROD-0283,2024-06-30,1,3019.0,5.0,150.95,2868.05,1220.9,1647.15,Ahmedabad,Gujarat,West,Returned
ORD-0000002,CUST-00052,PROD-0339,2023-01-07,1,509.0,0.0,0.0,509.0,271.23,237.77,Delhi,Delhi,North,Delivered
ORD-0000003,CUST-03672,PROD-0172,2023-12-18,1,719.0,0.0,0.0,719.0,422.7,296.3,Chennai,Tamil Nadu,South,Delivered
ORD-0000004,CUST-01468,PROD-0363,2023-02-03,1,759.0,0.0,0.0,759.0,446.36,312.64,Chennai,Tamil Nadu,South,Delivered
ORD-0000005,CUST-01765,PROD-0094,2022-05-17,1,10559.0,0.0,0.0,10559.0,8112.08,2446.92,Delhi,Delhi,North,Delivered
ORD-0000006,CUST-02861,PROD-0363,2024-04-15,1,759.0,5.0,37.95,721.05,446.36,274.69,Bengaluru,Karnataka,South,Delivered
ORD-0000007,CUST-00529,PROD-0045,2022-09-09,1,8809.0,5.0,440.45,8368.55,5800.35,2568.2,Guwahati,Assam,East,Delivered
ORD-0000008,CUST-03384,PROD-0227,2024-02-14,1,1559.0,0.0,0.0,1559.0,921.38,637.62,Jaipur,Rajasthan,North,Delivered
ORD-0000009,CUST-01716,PROD-0338,2022-07-11,1,80.0,0.0,0.0,80.0,62.77,17.23,Indore,Madhya Pradesh,Central,Delivered
ORD-0000010,CUST-03332,PROD-0470,2023-11-18,3,70.0,25.0,52.5,157.5,173.19,-15.69,Ahmedabad,Gujarat,West,Delivered
ORD-0000011,CUST-04342,PROD-0446,2023-10-08,2,619.0,15.0,185.7,1052.3,645.74,406.56,Bengaluru,Karnataka,South,Returned
ORD-0000012,CUST-00893,PROD-0293,2024-05-08,3,679.0,5.0,101.85,1935.15,1199.88,735.27,Jaipur,Rajasthan,North,Delivered
ORD-0000013,CUST-04842,PROD-0485,2022-11-26,1,150.0,25.0,37.5,112.5,97.85,14.65,Jaipur,Rajasthan,North,Cancelled
ORD-0000014,CUST-02778,PROD-0280,2023-11-14,1,2339.0,25.0,584.75,1754.25,1965.06,-210.81,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000015,CUST-04802,PROD-0288,2023-03-21,1,849.0,0.0,0.0,849.0,591.37,257.63,Mumbai,Maharashtra,West,Delivered
ORD-0000016,CUST-01092,PROD-0398,2023-10-21,1,119.0,20.0,23.8,95.2,94.31,0.89,Mumbai,Maharashtra,West,Delivered
ORD-0000017,CUST-03173,PROD-0483,2022-10-06,1,1559.0,0.0,0.0,1559.0,965.05,593.95,Chennai,Tamil Nadu,South,Delivered
